id,listing_url,host_id,host_total_listings_count,latitude,longitude,property_type,room_type,price,minimum_nights,maximum_nights,availability_365,number_of_reviews
639579784409302272,https://www.airbnb.com/rooms/639579784409302260,884282,3,51.49562,-0.18871,Entire condo,Entire home/apt,350.0,1,1125,294,3
639911301398784384,https://www.airbnb.com/rooms/639911301398784425,95117073,16,51.52406,-0.26492,Private room in home,Private room,22.0,1,365,215,50
642981956805628544,https://www.airbnb.com/rooms/642981956805628510,303331474,4,51.58711,-0.085,Private room in home,Private room,60.0,3,1125,364,17
643105769682396288,https://www.airbnb.com/rooms/643105769682396273,1867241,10,51.56151,-0.05543,Private room in condo,Private room,64.0,2,70,347,33
643244473080752128,https://www.airbnb.com/rooms/643244473080752091,226324801,9,51.52172932018028,-0.1607796549797058,Entire condo,Entire home/apt,230.0,50,365,230,1
643351220486589696,https://www.airbnb.com/rooms/643351220486589703,396872092,1,51.44645,-0.13781,Entire condo,Entire home/apt,150.0,4,1125,0,2
21722381,https://www.airbnb.com/rooms/21722381,83740964,144,51.51277,-0.18384,Entire rental unit,Entire home/apt,101.0,3,320,125,54
21778797,https://www.airbnb.com/rooms/21778797,6784256,1,51.52215,-0.04317,Private room in rental unit,Private room,40.0,2,7,0,0
645370137928949632,https://www.airbnb.com/rooms/645370137928949584,190968094,3,51.47421,-0.01328,Entire home,Entire home/apt,130.0,3,30,86,16
646191514291750272,https://www.airbnb.com/rooms/646191514291750268,31262065,2,51.52495,-0.10267,Entire condo,Entire home/apt,128.0,3,16,5,37
21785128,https://www.airbnb.com/rooms/21785128,19583485,25,51.50108,-0.0939,Entire loft,Entire home/apt,137.0,3,1125,0,389
21794801,https://www.airbnb.com/rooms/21794801,157675927,5,51.46085,-0.12337,Private room in rental unit,Private room,162.0,2,30,0,12
21798438,https://www.airbnb.com/rooms/21798438,156695287,20,51.48463,-0.17082,Entire rental unit,Entire home/apt,259.0,2,20,320,0
21875901,https://www.airbnb.com/rooms/21875901,130745575,1,51.47936,-0.10353,Entire rental unit,Entire home/apt,120.0,7,1125,242,11
646780981321994496,https://www.airbnb.com/rooms/646780981321994444,463662723,2,51.42951,-0.05424,Private room in condo,Private room,54.0,1,1125,365,21
649099406779369600,https://www.airbnb.com/rooms/649099406779369570,23883884,29,51.58437,-0.22916,Entire condo,Entire home/apt,80.0,7,90,65,14
649130862350097536,https://www.airbnb.com/rooms/649130862350097555,129230780,5094,51.48338,-0.12584,Entire rental unit,Entire home/apt,1000.0,3,365,0,0
649653425980422016,https://www.airbnb.com/rooms/649653425980422001,2125620,602,51.4695,-0.13263,Entire rental unit,Entire home/apt,270.0,1,1125,12,7
21878617,https://www.airbnb.com/rooms/21878617,31639545,1,51.39643,-0.07401,Entire rental unit,Entire home/apt,40.0,8,1125,0,19
652849069293260928,https://www.airbnb.com/rooms/652849069293260983,140433171,3,51.4823271,-0.0164284,Entire condo,Entire home/apt,312.0,1,1125,281,18
21912751,https://www.airbnb.com/rooms/21912751,7655798,1,51.51799,-0.10141,Entire rental unit,Entire home/apt,140.0,30,100,0,38
